Dataset,Organism,Group,Ecosystem,Site_num,Area,Ave_TP,Ave_AL,Ave_AT,Ave_AP,Ave_Elevation,Gamma_Diversity,Max_Distance,Ave_HFP,Ave_Builtup,Ave_Crops,Ave_Forest,Body_size,Dispersal_type,X,Y,FDGamma,Mean_Urban,Mean_Agriculture,Mean_Forest,Code
LUSPP,Phytoplankton,Producer,Lake,1085,9629865.177,110.5792787,40.98868223,9.559992316,867.921659,611.4396313,386,56.49194858,11.89699614,3.935748317,7.147858748,34.89141227,6.00E-09,Passive,-94.70640295,40.99308713,0.094417108,4.955738774,11.81125719,40.57741139,PP07
LUSPP_2,Phytoplankton,Producer,Lake,1036,9533328.94,124.6750965,40.90144664,9.625518813,848.0540541,646.2200772,885,57.05021359,12.06949182,4.014311814,6.292284486,30.56647916,6.00E-09,Passive,-95.72895639,40.90606323,0.062081793,5.241967222,11.61281192,37.00182368,PP08
LUSZP,Zooplankton,Consumer,Lake,974,9498886.226,121.8111294,40.72707246,9.903721775,859.2238193,572.4537988,395,56.11737381,12.51856657,4.217855792,8.013178399,34.81524432,0.00018197,Passive,-94.70956782,40.71856625,0.058290799,5.335605217,12.63959985,40.19488843,ZP04
LUSZP_2,Zooplankton,Consumer,Lake,1096,9641916.521,109.9292865,41.02115377,9.553645829,872.6186131,611.9589416,373,56.76550204,11.96599794,3.97579022,7.115689243,35.07833704,0.00018197,Passive,-95.25281177,41.05721338,0.049547592,5.040811099,11.72946502,40.65395023,ZP05
LUSZP_3,Zooplankton,Consumer,Lake,1037,9533364.761,124.2424301,40.90386582,9.616570225,847.6470588,648.6933462,488,57.05021359,12.07802128,4.018182896,6.28080413,30.59360647,0.00018197,Passive,-95.72096206,40.90386582,0.038965413,5.236912287,11.56733833,37.01152584,ZP06
RBRPP,Phytoplankton,Producer,River,133,4621922.473,59.16661654,13.96917293,23.90701756,1584.157895,98.30075188,311,37.37092453,10.25171881,1.955919764,9.777407457,43.07555497,6.00E-09,Passive,-44.4726776,-14.62431694,0.08847053,1.791640473,10.50806744,42.70898842,PP02
RBRPP_2,Phytoplankton,Producer,River,178,25189.82315,42.6479382,22.60727084,20.55917603,1370.38764,489.0280899,353,5.277147022,22.04203704,8.52879611,10.11993002,26.80533851,6.00E-09,Passive,-44.32670366,-22.61099718,0.046099608,7.880079867,14.555067,29.71782764,PP03
RCNBD,Benthic Diatoms,Producer,River,56,17921.59731,26.05,21.82896127,21.33613632,1627.018182,882.0181818,254,1.824242371,8.939497137,6.801207288,5.940065553,72.43498253,7.94E-09,Passive,101.0083632,21.83114933,0.02578537,3.659289035,4.554377671,80.25049032,BD02
RCNBD_10,Benthic Diatoms,Producer,River,19,225.7841081,428.4736842,28.91584211,17.26337714,1434.052632,115.5789474,87,0.278384626,22.73361899,51.02863794,20.65353356,15.032837,7.94E-09,Passive,120.0946842,28.91584211,0.094083584,50.23382386,19.57547748,16.50685189,BD15
RCNBD_11,Benthic Diatoms,Producer,River,254,3598613.275,77.81968504,30.58411925,14.77969174,1208.069106,633.5365854,440,39.12149633,15.25962701,18.18237009,14.41754511,40.45735851,7.94E-09,Passive,107.8594518,30.76192193,0.121414064,16.11739117,13.53171224,44.87985041,BD19
RCNBD_2,Benthic Diatoms,Producer,River,26,1629.968664,53.26923077,25.53974385,18.33429491,1698.038462,235.6923077,129,0.655452288,16.31114821,22.50454532,17.08899818,35.384645,7.94E-09,Passive,110.3665488,25.53974385,0.029164399,21.34394908,16.19186786,41.3007167,BD03
RCNBD_3,Benthic Diatoms,Producer,River,81,11028.46068,96.40987654,29.03419896,16.96515153,1521.415584,175.4935065,137,2.020382888,20.1637183,35.30399191,15.04784408,33.86414437,7.94E-09,Passive,119.4952186,29.04532156,0.044254801,32.72711372,13.40141025,37.80563898,BD04
RCNBD_4,Benthic Diatoms,Producer,River,56,8116.05436,148.5428571,34.10605348,11.78668158,665.8928571,786.5,172,1.765727189,17.15720112,13.63247267,27.41193118,34.05259289,7.94E-09,Passive,108.9714387,34.10605348,0.015037059,11.720882,27.14781465,37.44011636,BD05
RCNBD_5,Benthic Diatoms,Producer,River,34,17942.1363,22.78823529,47.99795097,0.04502689,239.1935484,1397.677419,171,4.924728965,10.68269121,2.46436146,3.865252513,18.43208995,7.94E-09,Passive,88.01185171,47.98510073,0.035536706,0.771456406,4.513041367,17.66451694,BD06
RCNBD_6,Benthic Diatoms,Producer,River,147,10638.66303,52.42857143,29.79465671,15.3907597,1607.952381,330.244898,168,1.617310716,9.658593282,7.054190416,10.03649931,62.22348283,7.94E-09,Passive,118.4808699,29.79465671,0.111303754,3.313239582,6.408022036,71.81394572,BD11
RCNBD_7,Benthic Diatoms,Producer,River,155,21699.3037,172.5806452,41.34618421,7.338294942,771.1315789,221.8486842,378,3.115124396,17.34425986,14.07607201,30.34397096,27.82632275,7.94E-09,Passive,123.7392265,41.31867403,0.051870387,12.33324854,27.03786064,35.11658575,BD12
RCNBD_8,Benthic Diatoms,Producer,River,513,8101.836318,207.079922,29.83721461,16.56555321,1246.628392,54.03131524,150,10.54097932,25.01714615,50.63587306,13.74871643,21.24370062,7.94E-09,Passive,121.4142436,29.82322953,0.057220959,45.97178972,14.67289847,23.88889251,BD13
RCNBD_9,Benthic Diatoms,Producer,River,32,1061.696771,169.03125,30.63994375,15.49479172,1281.625,144.8125,100,0.515787951,14.83766121,24.20408007,18.78143399,40.29635158,7.94E-09,Passive,119.6172063,30.63994375,0.056595482,20.73748064,17.23609686,42.1384997,BD14
RCNBM,Benthic Macroinvertebrates,Consumer,River,59,17922.6898,25.21355932,21.83239035,21.29042395,1624.631579,893.6315789,178,1.824242371,9.268748596,7.892973436,7.407487651,69.17935365,0.026061535,Active,101.0083632,21.83114933,0.130435013,3.813000537,5.479496553,78.33563692,BM01
RCNBM_10,Benthic Macroinvertebrates,Consumer,River,17,198.6020471,447.4705882,28.91847059,17.22303907,1430.764706,118.2941176,52,0.278384626,22.73361899,51.02863794,20.65353356,15.032837,0.026061535,Active,120.0946842,28.91584211,0.150521467,45.97922879,21.68322699,17.88507189,BM12
RCNBM_2,Benthic Macroinvertebrates,Consumer,River,34,3281.958178,50.44117647,25.53463818,18.2892678,1692.757576,247.1212121,157,1.08900828,15.79542739,21.43507441,15.99003112,37.76449967,0.026061535,Active,110.3898949,25.53573486,0.136168035,20.36332616,15.10591116,43.56662826,BM02
RCNBM_3,Benthic Macroinvertebrates,Consumer,River,84,10981.88172,110.1857143,29.0253757,17.00764765,1526.113924,171.3797468,190,2.020382888,20.97845674,36.88699703,15.33958728,32.14902324,0.026061535,Active,119.4952186,29.04532156,0.139983682,32.62120088,14.02330824,37.14614919,BM03
RCNBM_4,Benthic Macroinvertebrates,Consumer,River,55,8118.524362,182.34,34.10416137,11.76439398,666.5454545,793.0545455,150,1.765727189,17.29736385,13.76051855,27.98223911,33.5229061,0.026061535,Active,108.9756025,34.11099957,0.141144931,11.24606716,26.64651568,38.00347252,BM04
RCNBM_5,Benthic Macroinvertebrates,Consumer,River,40,18044.56806,23.8525,47.99076324,0.247184703,236.0540541,1368.216216,77,4.924728965,10.50644285,2.170061847,6.222296428,15.76806018,0.026061535,Active,88.01185171,47.98510073,0.14635845,0.985837811,6.268262914,16.07929201,BM05
RCNBM_6,Benthic Macroinvertebrates,Consumer,River,140,10639.05846,52.07857143,29.79833219,15.35800601,1610.192857,336.5357143,199,1.617310716,9.650295836,7.042630745,9.822546321,62.61568988,0.026061535,Active,118.4808699,29.79465671,0.147135343,3.169897374,6.228177124,72.21957338,BM08
RCNBM_7,Benthic Macroinvertebrates,Consumer,River,167,21527.50742,170.4191617,41.29621951,7.347916655,777.1585366,228.7560976,162,3.115124396,17.47654559,15.38576434,29.50415917,27.64305047,0.026061535,Active,123.7392265,41.31867403,0.095553906,12.07757437,26.38912132,36.23028016,BM09
RCNBM_8,Benthic Macroinvertebrates,Consumer,River,439,8000.649183,206.8861048,29.83187913,16.53331289,1249.117647,60.83578431,299,10.54097932,25.12389381,50.66614245,13.75344912,21.58094759,0.026061535,Active,121.4142436,29.82322953,0.109823204,45.11186299,14.3913224,25.29544547,BM10
RCNBM_9,Benthic Macroinvertebrates,Consumer,River,31,1047.142972,168.8387097,30.63454516,15.4790323,1284,148.6451613,89,0.515787951,14.83766121,24.20408007,18.78143399,40.29635158,0.026061535,Active,119.6172063,30.63994375,0.105559605,21.25131532,16.44080296,42.5777334,BM11
RCNFI,Fish,Consumer,River,150,21151.98764,158.6,41.3407483,7.357964837,771.4557823,220.0408163,42,3.115124396,17.51839701,14.89335208,29.69066619,27.35576962,266.6858665,Active,123.7173684,41.32847953,0.169350682,12.35206107,26.49532068,34.82344174,FI03
RCNZP,Zooplankton,Consumer,River,147,10640.48297,52.42857143,29.79465671,15.3907597,1607.952381,330.244898,165,1.617310716,9.658593282,7.054190416,10.03649931,62.22348283,0.00018197,Passive,118.4808699,29.79465671,0.410297265,3.313239582,6.408022036,71.81394572,ZP01
RFIAP,Aquatic Plants,Producer,River,122,252229.5048,55.07122951,62.89045801,2.953551909,600.9590164,84.99180328,50,9.619223786,11.08186243,4.115717371,11.29293027,53.95664938,10,Seeds,25.33322977,62.99463173,0.135324731,2.74759867,9.728085151,56.04152128,AP04
RFIBD,Benthic Diatoms,Producer,River,51,54057.08207,48.61727059,61.59897752,3.484608842,641.2857143,90.79591837,293,7.357131509,16.41598687,11.94222077,5.702809112,60.43939303,7.94E-09,Passive,27.6920642,61.64158526,0.035702232,9.812634117,4.933207141,61.42393165,BD07
RFIBD_2,Benthic Diatoms,Producer,River,105,85007.59564,71.52008095,62.84066828,3.205248402,593.2884615,80.83653846,344,6.987149907,12.65669697,4.853358588,18.62543839,43.27184878,7.94E-09,Passive,23.89781695,62.8609661,0.086499099,3.461340943,15.65829768,49.32264037,BD08
RFIBD_3,Benthic Diatoms,Producer,River,103,211510.3656,27.35825243,66.01254112,0.277143997,549.6893204,175.4951456,365,9.9168088,5.281857139,0.382321227,2.208739815,57.29898435,7.94E-09,Passive,27.11671973,65.90331786,0.034852169,0.314204868,2.025312079,55.98840807,BD10
